id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
164785,SDMOS,520AS,SDMOS 520AS,SDM,SDM,DENT,2022,Graduate,SDM,SDMOS 520AS
150984,SEDED,220,SEDED 220,WED,SED,UGRD,2023,Undergraduate Upper,SED,SEDED 220
151028,SEDED,500,SEDED 500,WED,SED,UGRD,2022,Graduate,SED,SEDED 500
151035,SEDED,503,SEDED 503,WED,SED,UGRD,2023,Graduate,SED,SEDED 503
150970,SEDED,205,SEDED 205,WED,SED,UGRD,2022,Undergraduate Upper,SED,SEDED 205
153787,SEDWL,511,SEDWL 511,WED,SED,UGRD,2023,Graduate,SED,SEDWL 511
153788,SEDWL,512,SEDWL 512,WED,SED,UGRD,2023,Graduate,SED,SEDWL 512
153791,SEDWL,586,SEDWL 586,WED,SED,UGRD,2023,Graduate,SED,SEDWL 586
153792,SEDWL,604,SEDWL 604,WED,SED,GRAD,2023,Graduate,SED,SEDWL 604
153793,SEDWL,686,SEDWL 686,WED,SED,GRAD,2023,Graduate,SED,SEDWL 686
153800,SEDYJ,403,SEDYJ 403,WED,SED,UGRD,2022,Advanced Undergraduate,SED,SEDYJ 403
158411,SPHEH,707,SPHEH 707,SPH,SPH,GRAD,2023,Graduate,SPH,SPHEH 707
158425,SPHEH,720,SPHEH 720,SPH,SPH,GRAD,2023,Graduate,SPH,SPHEH 720
158446,SPHEH,768,SPHEH 768,SPH,SPH,GRAD,2023,Graduate,SPH,SPHEH 768
100212,CASAH,325,CASAH 325,CAS,CASAH,UGRD,2022,Advanced Undergraduate,CASAH,CASAH 325
100216,CASAH,331,CASAH 331,CAS,CASAH,UGRD,2024,Advanced Undergraduate,CASAH,CASAH 331
100221,CASAH,333,CASAH 333,CAS,CASAH,UGRD,2024,Advanced Undergraduate,CASAH,CASAH 333
100225,CASAH,345,CASAH 345,CAS,CASAH,UGRD,2024,Advanced Undergraduate,CASAH,CASAH 345
100246,CASAH,361,CASAH 361,CAS,CASAH,UGRD,2022,Advanced Undergraduate,CASAH,CASAH 361
100256,CASAH,374E,CASAH 374E,CAS,SAB,UGRD,2022,Advanced Undergraduate,SAB,CASAH 374E
100006,CASAA,103S,CASAA 103S,CAS,SUM,UGRD,2022,Undergraduate Lower,SUM,CASAA 103S
100007,CASAA,103,CASAA 103,CAS,CASAA,UGRD,2022,Undergraduate Lower,CASAA,CASAA 103
100016,CASAA,210,CASAA 210,CAS,CASAA,UGRD,2022,Undergraduate Upper,CASAA,CASAA 210
100021,CASAA,270,CASAA 270,CAS,CASAA,UGRD,2022,Undergraduate Upper,CASAA,CASAA 270
100026,CASAA,304S,CASAA 304S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASAA 304S
100027,CASAA,304,CASAA 304,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 304
100028,CASAA,305S,CASAA 305S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASAA 305S
100029,CASAA,305,CASAA 305,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 305
100055,CASAA,383,CASAA 383,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 383
100059,CASAA,390,CASAA 390,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 390
100065,CASAA,404,CASAA 404,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 404
100068,CASAA,420,CASAA 420,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 420
100078,CASAA,493,CASAA 493,CAS,CASAA,UGRD,2022,Advanced Undergraduate,CASAA,CASAA 493
100093,CASAA,507S,CASAA 507S,CAS,SUM,UGRD,2022,Graduate,SUM,CASAA 507S
100094,CASAA,507,CASAA 507,CAS,CASAA,UGRD,2022,Graduate,CASAA,CASAA 507
100124,CASAH,111S,CASAH 111S,CAS,SUM,UGRD,2022,Undergraduate Lower,SUM,CASAH 111S
100137,CASAH,112S,CASAH 112S,CAS,SUM,UGRD,2022,Undergraduate Lower,SUM,CASAH 112S
100140,CASAH,112,CASAH 112,CAS,CASAH,UGRD,2022,Undergraduate Lower,CASAH,CASAH 112
100146,CASAH,201,CASAH 201,CAS,CASAH,UGRD,2023,Undergraduate Upper,CASAH,CASAH 201
